,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price
4105,2022-11-11,2022-11-11 18:51:33.484000+05:30,11929,od_aZ3OAsU5,-507.0, Bought 13.00 shares x N (Rs. 39.00 each),Bought,13.0,N,39.0
4104,2022-11-11,2022-11-11 18:51:35.896000+05:30,11929,od_BwETgBnN,525.0, Cancelled 15.00 shares x Y (Rs. 35.00 each),Cancelled,15.0,Y,35.0
4101,2022-11-11,2022-11-11 18:52:25.970000+05:30,11929,od_3arkhYqZ,80.0, Sold 2.00 shares x N (Rs. 40.00 each),Sold,2.0,N,40.0
4100,2022-11-11,2022-11-11 18:53:18.420000+05:30,11929,od_aZ3OAsU5,429.0, Cancelled 11.00 shares x N (Rs. 39.00 each),Cancelled,11.0,N,39.0
4099,2022-11-11,2022-11-11 18:53:19.751000+05:30,11929,od_q3S1emSc,-507.0, Bought 13.00 shares x N (Rs. 39.00 each),Bought,13.0,N,39.0
4095,2022-11-11,2022-11-11 18:55:13.320000+05:30,11929,od_q3S1emSc,468.0, Cancelled 12.00 shares x N (Rs. 39.00 each),Cancelled,12.0,N,39.0
4094,2022-11-11,2022-11-11 18:55:14.675000+05:30,11929,od_X0FAp70R,120.0, Sold 3.00 shares x N (Rs. 40.00 each),Sold,3.0,N,40.0
4093,2022-11-11,2022-11-11 18:55:14.675000+05:30,11929,od_yAZrgfB3,-481.2, Bought 12.00 shares x N (Rs. 40.00 each),Bought,12.0,N,40.0
4092,2022-11-11,2022-11-11 18:55:17.157000+05:30,11929,od_FtZW4wPH,118.8, Sold 3.00 shares x N (Rs. 40.00 each),Sold,3.0,N,40.0
4090,2022-11-11,2022-11-11 18:56:59.908000+05:30,11929,od_yAZrgfB3,360.0, Cancelled 9.00 shares x N (Rs. 40.00 each),Cancelled,9.0,N,40.0
4089,2022-11-11,2022-11-11 18:57:01.347000+05:30,11929,od_QKTOm82n,-660.44, Bought 15.00 shares x N (Rs. 44.00 each),Bought,15.0,N,44.0
4088,2022-11-11,2022-11-11 18:57:05.223000+05:30,11929,od_QKTOm82n,616.0, Cancelled 14.00 shares x N (Rs. 44.00 each),Cancelled,14.0,N,44.0
4087,2022-11-11,2022-11-11 18:57:06.552000+05:30,11929,od_mom4wkTp,-660.0, Bought 15.00 shares x N (Rs. 44.00 each),Bought,15.0,N,44.0
4086,2022-11-11,2022-11-11 18:58:46.645000+05:30,11929,od_mom4wkTp,660.0, Cancelled 15.00 shares x N (Rs. 44.00 each),Cancelled,15.0,N,44.0
4085,2022-11-11,2022-11-11 18:58:48.028000+05:30,11929,od_K9DOgZ84,-616.0, Bought 14.00 shares x N (Rs. 44.00 each),Bought,14.0,N,44.0
4084,2022-11-11,2022-11-11 18:58:54.896000+05:30,11929,od_9rWe6elv,45.0, Sold 1.00 shares x N (Rs. 45.00 each),Sold,1.0,N,45.0
4083,2022-11-11,2022-11-11 19:00:25.324000+05:30,11929,od_82Q6Yws2,-525.0, Bought 15.00 shares x Y (Rs. 35.00 each),Bought,15.0,Y,35.0
4082,2022-11-11,2022-11-11 19:00:28.169000+05:30,11929,od_K9DOgZ84,616.0, Cancelled 14.00 shares x N (Rs. 44.00 each),Cancelled,14.0,N,44.0
4078,2022-11-11,2022-11-11 19:25:45.050000+05:30,11929,od_UedsKNRu,18.0, Sold 1.00 shares x Y (Rs. 18.00 each),Sold,1.0,Y,18.0
4076,2022-11-11,2022-11-11 19:26:01.638000+05:30,11929,od_UedsKNRu,18.0, Sold 1.00 shares x Y (Rs. 18.00 each),Sold,1.0,Y,18.0
4075,2022-11-11,2022-11-11 19:26:01.638000+05:30,11929,od_O78y6ykV,-18.18, Bought 1.00 shares x Y (Rs. 18.00 each),Bought,1.0,Y,18.0
4066,2022-11-11,2022-11-11 19:29:29.146000+05:30,11929,od_pKUYBlSg,18.0, Sold 1.00 shares x Y (Rs. 18.00 each),Sold,1.0,Y,18.0
4065,2022-11-11,2022-11-11 19:29:29.146000+05:30,11929,od_EKoyqDnL,-18.18, Bought 1.00 shares x Y (Rs. 18.00 each),Bought,1.0,Y,18.0
4061,2022-11-11,2022-11-11 19:31:23.395000+05:30,11929,od_phxrBfVi,-13.0, Bought 1.00 shares x Y (Rs. 13.00 each),Bought,1.0,Y,13.0
4001,2022-11-11,2022-11-11 19:46:39.543000+05:30,11929,od_t4dfXGR1,-1155.0, Bought 15.00 shares x N (Rs. 77.00 each),Bought,15.0,N,77.0
3991,2022-11-11,2022-11-11 19:48:38.421000+05:30,11929,od_t4dfXGR1,1155.0, Cancelled 15.00 shares x N (Rs. 77.00 each),Cancelled,15.0,N,77.0
3990,2022-11-11,2022-11-11 19:48:39.797000+05:30,11929,od_as9cZJLV,-1185.0, Bought 15.00 shares x N (Rs. 79.00 each),Bought,15.0,N,79.0
3984,2022-11-11,2022-11-11 19:52:27.244000+05:30,11929,od_as9cZJLV,1185.0, Cancelled 15.00 shares x N (Rs. 79.00 each),Cancelled,15.0,N,79.0
3983,2022-11-11,2022-11-11 19:52:28.590000+05:30,11929,od_N15oQPLZ,-1278.4, Bought 15.00 shares x N (Rs. 85.00 each),Bought,15.0,N,85.0
3982,2022-11-11,2022-11-11 19:52:33.056000+05:30,11929,od_N15oQPLZ,935.0, Cancelled 11.00 shares x N (Rs. 85.00 each),Cancelled,11.0,N,85.0
3981,2022-11-11,2022-11-11 19:52:34.389000+05:30,11929,od_KfIl6rIO,-1275.0, Bought 15.00 shares x N (Rs. 85.00 each),Bought,15.0,N,85.0
3976,2022-11-11,2022-11-11 19:54:24.391000+05:30,11929,od_7nFtVTeX,340.56, Sold 4.00 shares x N (Rs. 86.00 each),Sold,4.0,N,86.0
3924,2022-11-11,2022-11-11 20:07:58.582000+05:30,11929,od_KfIl6rIO,1275.0, Cancelled 15.00 shares x N (Rs. 85.00 each),Cancelled,15.0,N,85.0
3923,2022-11-11,2022-11-11 20:07:59.931000+05:30,11929,od_lJgDkBbW,-1339.45, Bought 15.00 shares x N (Rs. 89.00 each),Bought,15.0,N,89.0
3922,2022-11-11,2022-11-11 20:08:02.234000+05:30,11929,od_dKaIXXK0,60.0, Sold 5.00 shares x Y (Rs. 12.00 each),Sold,5.0,Y,12.0
3917,2022-11-11,2022-11-11 20:09:57.783000+05:30,11929,od_sd9c6jxX,1336.5, Sold 15.00 shares x N (Rs. 90.00 each),Sold,15.0,N,90.0
3892,2022-11-11,2022-11-11 20:26:03.203000+05:30,11929,od_UeMheD5C,50.0, Sold 5.00 shares x Y (Rs. 10.00 each),Sold,5.0,Y,10.0
3878,2022-11-11,2022-11-11 20:31:42.256000+05:30,11929,od_UeMheD5C,10.0, Sold 1.00 shares x Y (Rs. 10.00 each),Sold,1.0,Y,10.0
